seed,provisioning_delay_epochs,horizon_epochs,miss_to_action_cost_ratio,policy,test_epochs,severe_event_prevalence,training_severe_p95_threshold_ms,missed_event_fraction,event_coverage_fraction,action_rate,normalized_cost,threshold
20260728,0,1,5,satcap_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.2,1.0
20260728,0,1,5,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.08,0.28,1.0
20260728,0,1,10,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.4,
20260728,0,1,10,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,0,1,10,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.44,
20260728,0,1,10,snapshot_tuned,50,0.04,41.21500000000003,0.02,0.5,0.12,0.32,0.09143766063771498
20260728,0,1,10,satcap_tuned,50,0.04,41.21500000000003,0.0,1.0,0.26,0.26,0.07421006319376776
20260728,0,1,10,delay_aware_hybrid,50,0.04,41.21500000000003,0.02,0.5,0.36,0.56,0.07562145594780713
20260728,0,1,20,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.8,
20260728,0,1,20,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,0,1,20,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.8400000000000001,
20260728,0,1,20,snapshot_tuned,50,0.04,41.21500000000003,0.02,0.5,0.4,0.8,0.06122661080196207
20260728,0,1,20,satcap_tuned,50,0.04,41.21500000000003,0.0,1.0,0.26,0.26,0.07421006319376776
20260728,0,1,20,delay_aware_hybrid,50,0.04,41.21500000000003,0.02,0.5,0.36,0.76,0.07562145594780713
20260728,0,1,50,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,2.0,
20260728,0,1,50,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,0,1,50,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,2.04,
20260728,0,1,50,snapshot_tuned,50,0.04,41.21500000000003,0.02,0.5,0.4,1.4,0.06122661080196207
20260728,0,1,50,satcap_tuned,50,0.04,41.21500000000003,0.0,1.0,0.26,0.26,0.07421006319376776
20260728,0,1,50,delay_aware_hybrid,50,0.04,41.21500000000003,0.02,0.5,0.36,1.3599999999999999,0.07562145594780713
20260728,0,1,100,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,4.0,
20260728,0,1,100,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,0,1,100,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,4.04,
20260728,0,1,100,snapshot_tuned,50,0.04,41.21500000000003,0.02,0.5,0.4,2.4,0.06122661080196207
20260728,0,1,100,satcap_tuned,50,0.04,41.21500000000003,0.0,1.0,0.26,0.26,0.07421006319376776
20260728,0,1,100,delay_aware_hybrid,50,0.04,41.21500000000003,0.02,0.5,0.36,2.36,0.07562145594780713
20260728,1,2,1,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.04,
20260728,1,2,1,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,1,2,1,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.08,
20260728,1,2,1,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.04,1.0
20260728,1,2,1,satcap_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.04,1.0
20260728,1,2,1,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.08,0.12,1.0
20260728,1,2,2,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.08,
20260728,1,2,2,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,1,2,2,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.12,
20260728,1,2,2,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.08,1.0
20260728,1,2,2,satcap_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.08,1.0
20260728,1,2,2,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.08,0.16,1.0
20260728,1,2,5,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.2,
20260728,1,2,5,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
